urn,Label,Description,Status,Redirect,StemClass
urn:cite2:hmt:pers:pers1,Achilles,"hero of the Iliad, greatest warrior of the Greeks at Troy",proposed,,
urn:cite2:hmt:pers:pers2,Lycomedes,"king of Scyros, father-in-law to Achilles",proposed,,
urn:cite2:hmt:pers:pers3,Glaucon,"of Tarsus, writer on Homer",proposed,,
urn:cite2:hmt:pers:pers4,Hesiod,"early Greek poet, author of the Theogony and the Works and Days",proposed,,
urn:cite2:hmt:pers:pers5,Pindar,one of the nine lyric poets,proposed,,
urn:cite2:hmt:pers:pers6,Muse,DO NOT USE,rejected,,
urn:cite2:hmt:pers:pers7,Antimachus,"Epic poet and grammarian 400BC, author of the Thebais",proposed,,
urn:cite2:hmt:pers:pers8,Zeus,king of the gods,proposed,,
urn:cite2:hmt:pers:pers9,Xuthus,"son of Hellen and Orseis, ancestor of Achaeans and Ionians",proposed,,
urn:cite2:hmt:pers:pers10,Creusa,Xuthus' wife,proposed,,
urn:cite2:hmt:pers:pers11,Erechtheus,archaic king of Athens,proposed,,
urn:cite2:hmt:pers:pers12,Ion,son of Xuthus,proposed,,
urn:cite2:hmt:pers:pers13,Achaeus,son of Xuthus,proposed,,
urn:cite2:hmt:pers:pers14,Hellen,son of Deucalion,proposed,,
urn:cite2:hmt:pers:pers15,Zenodotus,"Hellenistic Homeric scholar, first librarian of the Library of Alexandria",proposed,,urn:cite2:ns:stemptype.os_ou
urn:cite2:hmt:pers:pers16,Aristarchus,"of Samothrace, Hellenistic Homeric scholar",proposed,,urn:cite2:ns:stemptype.os_ou
urn:cite2:hmt:pers:pers17,Homer,poet to whom authorship of the Iliad and Odyssey was ascribed,proposed,,urn:cite2:ns:stemptype.os_ou
urn:cite2:hmt:pers:pers18,Momus,"God of satire, mockery, poets etc.",proposed,,
urn:cite2:hmt:pers:pers19,Thetis,sea goddess and mother of Achilles,proposed,,
urn:cite2:hmt:pers:pers20,Stasinus,proposed author of Cypria,proposed,,
urn:cite2:hmt:pers:pers21,Aristophanes,"of Byzantium, Homeric scholar",proposed,,
urn:cite2:hmt:pers:pers22,Agamemnon,leader of the Greek forces at Troy,proposed,,
urn:cite2:hmt:pers:pers23,Atreus,father of Agamemnon and Menelaus,proposed,,
urn:cite2:hmt:pers:pers24,Pelops,father of Atreus,proposed,,
urn:cite2:hmt:pers:pers25,Aerope,wife of Atreus,proposed,,
urn:cite2:hmt:pers:pers26,Pleisthenes,son of Atreus (not Aerope),proposed,,
urn:cite2:hmt:pers:pers27,Aegisthus,son of Thyestes,proposed,,
urn:cite2:hmt:pers:pers28,Thyestes,brother of Atreus,proposed,,
urn:cite2:hmt:pers:pers29,Clytemnestra,wife of Agamemnon,proposed,,
urn:cite2:hmt:pers:pers30,Orestes,son of Agamemnon and Clytemnestra,proposed,,
urn:cite2:hmt:pers:pers31,Laodike,"In later tradition renamed Electra, daughter of Agamemnon",proposed,,
urn:cite2:hmt:pers:pers32,Chrysothemis,daughter of Agamemnon,proposed,,
